Frame,Pelvis_x,Pelvis_y,Pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_z,Right_Upper_Arm_x,Right_Upper_Arm_y,Right_Upper_Arm_z,Right_Forearm_x,Right_Forearm_y,Right_Forearm_z,Right_Hand_x,Right_Hand_y,Right_Hand_z,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_z,Left_Upper_Arm_x,Left_Upper_Arm_y,Left_Upper_Arm_z,Left_Forearm_x,Left_Forearm_y,Left_Forearm_z,Left_Hand_x,Left_Hand_y,Left_Hand_z,Right_Upper_Leg_x,Right_Upper_Leg_y,Right_Upper_Leg_z,Right_Lower_Leg_x,Right_Lower_Leg_y,Right_Lower_Leg_z,Right_Foot_x,Right_Foot_y,Right_Foot_z,Right_Toe_x,Right_Toe_y,Right_Toe_z,Left_Upper_Leg_x,Left_Upper_Leg_y,Left_Upper_Leg_z,Left_Lower_Leg_x,Left_Lower_Leg_y,Left_Lower_Leg_z,Left_Foot_x,Left_Foot_y,Left_Foot_z,Left_Toe_x,Left_Toe_y,Left_Toe_z
0,0,0,0,0.0162633198090799,-0.0951424248872704,0.221275467210046,0.0162633198090799,-0.0951424248872704,0.221275467210046,0.0162633198090799,-0.0951424248872704,0.221275467210046,-0.00043924027836395,-0.0907319629120981,0.0300652022796529,0.0162633198090799,-0.0951424248872704,0.221275467210046,-0.182956374494644,-0.130658411526339,0.00789278431867294,-0.053485989980469,-0.0803214337238149,-0.00558512147498633,-0.179349990610965,0.150700143882984,0.216256964163913,-0.538501290896842,0.622442314559117,0.897725789805283,-0.525710841707044,-0.0730690888969816,1.46869761674277,-0.0347368257561712,-0.176880473640787,-0.0431879125659691,-0.0958909730016601,-0.297276471743594,-0.0461062625721216,-0.323853263277285,-0.319963074261603,-0.00355341392801292,-0.394708196871211,-0.318138315998607,0.114984356480382,-0.061580257753608,0.0510580835361528,0.00116314194236197,-0.0302943560221868,0.0116076254596597,-0.0149350404552857,-0.00862134820584356,-0.0477190299013951,-0.00394193263685541,-0.00862134820584356,-0.0477190299013951,-0.00394193263685541,0.0187262561052479,-0.0586008167976379,-0.0126036755447024,-0.0436839131115909,-0.0278202662311666,-0.0110015893153716,-0.0519987461026656,-0.00735838341574167,-0.00884767803717812,-0.0519987461026656,-0.00735838341574167,-0.00884767803717812
1,0,0,0,0.00125271793572583,-0.126476731008083,0.188340872652734,-0.00761974453131048,-0.133954904957892,0.187838690662638,-0.0121323912344278,-0.139903244287795,0.186983064325944,-0.035496675301767,-0.115789089410125,-0.00358976026293967,-0.032986653492504,-0.154345915299422,0.18551148661519,-0.205337236868997,-0.1684365863255,-0.0214846573803299,-0.052672370247765,-0.115137326063158,-0.0361325154979516,-0.19586658729882,0.134774690646403,0.162161617800784,-0.609610768155333,0.592644761859853,0.838105600990863,-0.538788442497312,-0.0824107799055139,1.38051558380656,-0.0394331779279133,-0.201370650574203,-0.0725597028442648,-0.0960473353658718,-0.339262620829441,-0.0667403394177448,-0.282952037907283,-0.333010986126269,-0.0377356949604125,-0.338353488037991,-0.322128314946031,0.0592793084143831,-0.0760684447316343,0.0463232260190904,-0.0161497919802382,-0.0471710210347553,-0.0065052301352596,-0.0436353098126859,-0.0240059249509437,-0.0695040773572592,-0.0332782551215929,-0.0240059249509437,-0.0695040773572592,-0.0332782551215929,0.0124567019795703,-0.0946753192436531,-0.0389993883522179,-0.0469210823954845,-0.0640062468669029,-0.0360788246937696,-0.0637766729050049,-0.0302541899416663,-0.0393148976895243,-0.0637766729050049,-0.0302541899416663,-0.0393148976895243
2,0,0,0,-0.0137578839376283,-0.157811037128896,0.155406278095422,-0.0315028088717009,-0.172767385028513,0.15440191411523,-0.0405281022779355,-0.18466406368832,0.152690661441841,-0.0705541103251701,-0.140846215908152,-0.0372447228055321,-0.0822366267940879,-0.213549405711573,0.149747506020334,-0.227718099243349,-0.206214761124661,-0.0508620990793327,-0.051858750515061,-0.1499532184025,-0.0666799095209168,-0.212383183986675,0.118849237409822,0.108066271437655,-0.680720245413824,0.562847209160589,0.778485412176442,-0.551866043287581,-0.0917524709140462,1.29233355087036,-0.0441295300996554,-0.225860827507619,-0.10193149312256,-0.0962036977300836,-0.381248769915289,-0.0873744162633679,-0.242050812537281,-0.346058897990936,-0.071917975992812,-0.281998779204772,-0.326118313893455,0.00357426034838382,-0.0905566317096607,0.0415883685020281,-0.0334627259028382,-0.0640476860473238,-0.0246180857301789,-0.072335579170086,-0.0393905016960438,-0.0912891248131233,-0.0626145776063303,-0.0393905016960438,-0.0912891248131233,-0.0626145776063303,0.0061871478538926,-0.130749821689668,-0.0653951011597334,-0.0501582516793781,-0.100192227502639,-0.0611560600721675,-0.0755545997073443,-0.0531499964675909,-0.0697821173418705,-0.0755545997073443,-0.0531499964675909,-0.0697821173418705
3,0,0,0,-0.0220414168071234,-0.178102092158879,0.134543319550568,-0.0450975193816068,-0.198297645116924,0.13318730493566,-0.0563081773632009,-0.214401490065867,0.130885054103521,-0.095345695206846,-0.156586683422259,-0.060014913007321,-0.110042766609592,-0.254151219523891,0.12693277564551,-0.237767354664681,-0.23039651620067,-0.0702229517326492,-0.050941836337287,-0.169646984404637,-0.0850250143416625,-0.225737394057867,0.109555711032616,0.0685261555530588,-0.738905097562828,0.524368714232036,0.725714580511896,-0.555198934177206,-0.102401561456394,1.2169981103483,-0.046144026052547,-0.240636842168594,-0.118352183651587,-0.0922624019940405,-0.405271740792753,-0.0971116607632649,-0.20891623739738,-0.349773351492932,-0.0873391595563695,-0.250685740318747,-0.319800476553299,-0.0353823597857965,-0.106428674171484,0.0409272568312531,-0.045264891594756,-0.074538244200306,-0.0360984778955339,-0.090668854768129,-0.0493433305612619,-0.105660355281562,-0.0809188095878029,-0.0493433305612619,-0.105660355281562,-0.0809188095878029,0.00504198695579049,-0.158434829500647,-0.0819929948165476,-0.0504214729228168,-0.124131888162915,-0.0762301258088598,-0.0821916590250724,-0.0678619109315644,-0.0887530750012153,-0.0821916590250724,-0.0678619109315644,-0.0887530750012153
4,0,0,0,-0.0204064891657684,-0.179536261790189,0.134428658104212,-0.0426204264097015,-0.201431604183161,0.132966964582955,-0.0517208432130849,-0.219201955289614,0.130475829852568,-0.105020562949246,-0.156602351277766,-0.065794510629834,-0.101194681944576,-0.26537686685018,0.126303176782677,-0.227542494793154,-0.232671277295477,-0.0728135728589079,-0.0503836255041819,-0.16437607299818,-0.0817747867577471,-0.236695708591108,0.112654897937538,0.0539944362224927,-0.784254252482839,0.465758778961666,0.679642710528021,-0.540036733083184,-0.120773545684695,1.16810306355623,-0.0444892076947334,-0.239394390381691,-0.112245403673205,-0.0814908553743108,-0.397135206151933,-0.0867552495217546,-0.189586581064087,-0.336539697014137,-0.0701512191013146,-0.266724017338236,-0.2933811870295,-0.0473128920764119,-0.127382172853888,0.0478326085478267,-0.0478039252814217,-0.0743986167900947,-0.0369929847476176,-0.0912873504412964,-0.0513328882515749,-0.107799978407513,-0.0803082686035437,-0.0513328882515749,-0.107799978407513,-0.0803082686035437,0.0118641768338811,-0.174141770406126,-0.081917478123866,-0.0461072873123635,-0.127495233033488,-0.0739502215097306,-0.0805877307478677,-0.0685815539949268,-0.088075947327219,-0.0805877307478677,-0.0685815539949268,-0.088075947327219
5,0,0,0,-0.0120444925205545,-0.16992718033067,0.146385632670313,-0.0298549796073117,-0.191283343267187,0.144968791598087,-0.0345178731047266,-0.208979027490383,0.142553401147398,-0.104429580549918,-0.147301360149354,-0.0606893359115433,-0.0709027637934799,-0.258000837576635,0.138622828139876,-0.204986027968605,-0.221349618667132,-0.0653876049394802,-0.0497221202260069,-0.143983035254517,-0.0663222699716122,-0.244491636507686,0.122386011701835,0.0540179473704588,-0.816678782293362,0.398467901462009,0.640420197694022,-0.51512982208852,-0.140452929446811,1.1320546091783,-0.0401525331180693,-0.228437776322347,-0.0931875239455532,-0.0666216506543261,-0.371035493302729,-0.0655020059345181,-0.178023574960896,-0.31397258417267,-0.0342021811774174,-0.307803964304921,-0.256654061218121,-0.0424949964352083,-0.14971952702009,0.0588117061106876,-0.044832190737405,-0.0678728825202972,-0.0312550281701371,-0.0815388523551066,-0.0478906980620058,-0.102525784546038,-0.0686656371160197,-0.0478906980620058,-0.102525784546038,-0.0686656371160197,0.0238107599395472,-0.181459216676568,-0.0720441422804829,-0.0388191536614554,-0.1186122579286,-0.0616671475688957,-0.0738429349860518,-0.0611173049963381,-0.0759025576602212,-0.0738429349860518,-0.0611173049963381,-0.0759025576602212
6,0,0,0,0.000197467611404004,-0.161672499613024,0.156455896003211,-0.0138631740979332,-0.181912885506686,0.15509864897181,-0.0153389509113011,-0.198450018037668,0.152875800909033,-0.0978594988597826,-0.138591473077146,-0.0521320772270621,-0.0433543516535496,-0.245744924762008,0.14913333606127,-0.181593872257532,-0.207766843366635,-0.0581893863727942,-0.0474680326884757,-0.122873398050611,-0.0546443043883624,-0.243663317954803,0.128098619916628,0.0517924212489943,-0.822987278243434,0.348166633841358,0.615347585567383,-0.496984637541583,-0.143500629820143,1.08091793568113,-0.0334145203792683,-0.216965750244433,-0.0769565569937789,-0.0517549080841266,-0.351598405966456,-0.0500455678428729,-0.163879063588384,-0.29558250346022,-0.00227502796514628,-0.332038313291042,-0.228692110519762,-0.0350132246656042,-0.16373178994353,0.0674601427429394,-0.0420960110557321,-0.061307170642149,-0.0241124103846488,-0.0730997252467571,-0.0411795819977417,-0.0968773277748953,-0.058606872009367,-0.0411795819977417,-0.0968773277748953,-0.058606872009367,0.037477256854513,-0.182763390488323,-0.0632019417320804,-0.0303935003699496,-0.110226630315514,-0.0514301355269969,-0.0661167645859782,-0.054710409889827,-0.0651921140282408,-0.0661167645859782,-0.054710409889827,-0.0651921140282408
7,0,0,0,0.0182438836707576,-0.159192157442135,0.1591492441101,0.00543056059671265,-0.177661396398945,0.157829625064417,0.00384726910912657,-0.19118928830904,0.155977547860139,-0.0825040939376885,-0.134212348913099,-0.039338618620986,-0.0284275341788933,-0.22809534999849,0.152146785797756,-0.159162980077122,-0.194255678236091,-0.0546964386178659,-0.0424855328798744,-0.103601864412242,-0.0539860590898508,-0.227229884961277,0.124432587755364,0.0393826156352038,-0.782175311766362,0.335325836588692,0.618225149559796,-0.491592701245741,-0.108608220535596,1.00055999264002,-0.0229193313729533,-0.206575826343725,-0.0696809027855233,-0.0382523229904503,-0.349510740654327,-0.0488099929432605,-0.142543641163316,-0.286493428367986,0.0174354091767078,-0.320576528966286,-0.218402552446382,-0.0279819465962852,-0.165985545148605,0.0701679540283416,-0.0418457205557697,-0.0561536227888402,-0.0159379879329938,-0.070435834182069,-0.0296435225923486,-0.092811505088956,-0.0551536656247186,-0.0296435225923486,-0.092811505088956,-0.0551536656247186,0.0542874745418448,-0.175278913380156,-0.0594022890016999,-0.0203687922460754,-0.106446349689737,-0.0483004486713062,-0.0581545868845861,-0.0529279517570624,-0.0608376528016976,-0.0581545868845861,-0.0529279517570624,-0.0608376528016976
8,0,0,0,0.0401702632168557,-0.158066216013119,0.159955880983786,0.0279506539983471,-0.174187710446677,0.158688631515616,0.0250094412146214,-0.183622476926927,0.157324123278051,-0.0611695897247864,-0.130424328805257,-0.0230930760487194,-0.0162442227154026,-0.205565891693889,0.153351092098436,-0.135896399010188,-0.178483396433395,-0.0514312402156793,-0.0359104508119169,-0.0836137313136294,-0.0571023649942244,-0.20217220549829,0.116748050044595,0.0247237727519828,-0.715247311428839,0.339474649215033,0.63525261425957,-0.492962491397628,-0.057084127862265,0.905113830479675,-0.0100228042045013,-0.195670490424447,-0.0652321613531448,-0.0247522000465591,-0.354085700855129,-0.0533712235392394,-0.118626713468928,-0.281581385404768,0.0331239616069359,-0.292269146660966,-0.216878169486021,-0.0182867923985658,-0.159914209110919,0.0705451043831348,-0.0418309849181512,-0.0509600973271807,-0.00635890427333111,-0.0690813140952213,-0.0148385373122604,-0.0883714194933481,-0.0532843256209416,-0.0148385373122604,-0.0883714194933481,-0.0532843256209416,0.0728176060384763,-0.161781163813302,-0.0566337715662998,-0.0092065644816035,-0.103163416555762,-0.0472168237145517,-0.0492110345449363,-0.0522028475163755,-0.0579461376101717,-0.0492110345449363,-0.0522028475163755,-0.0579461376101717
9,0,0,0,0.0573560234106322,-0.157432513744027,0.16138807135703,0.0464083995486381,-0.17252835429571,0.160162266235281,0.0434138443062038,-0.179743811128103,0.159070003915791,-0.0465614088954471,-0.125916199237879,-0.0131804857510891,-0.00135749079799778,-0.193419678130378,0.155051605554777,-0.117899189871661,-0.164787120483223,-0.0482055651876145,-0.0296609887054591,-0.0696504165543932,-0.0582345552610278,-0.183971023626592,0.110474978855102,0.0148173515200554,-0.672025154179973,0.324871042361749,0.632329696989118,-0.499625878935516,-0.0349145476848362,0.809043788940753,0.000927028753242992,-0.188655950153143,-0.0610031453188661,-0.011269573522279,-0.357888700756533,-0.0551507243828023,-0.0956083423555096,-0.278984944588658,0.0465921412214433,-0.261780504438273,-0.216470320503403,-0.0106692043898075,-0.146109084530729,0.0730170802791442,-0.0410471242778031,-0.0477162986088361,0.000515607998305606,-0.0673149345259478,-0.00359550056196567,-0.0847259340812114,-0.0505497318587739,-0.00359550056196567,-0.0847259340812114,-0.0505497318587739,0.0853917510369323,-0.15297249934782,-0.0536911063024371,-0.000127851051703008,-0.100797499894339,-0.0450447023355597,-0.0412094984025646,-0.0510750938767884,-0.0547976673704215,-0.0412094984025646,-0.0510750938767884,-0.0547976673704215
